,USA360
1887-03-29,1.1957893854604507
1887-03-30,1.193796351496483
1887-03-31,1.1973881680521823
1887-04-01,1.1900303092467626
1887-04-02,1.1936061325364573
1887-04-04,1.1951971909050805
1887-04-05,1.1987693207920187
1887-04-06,1.1967876242679465
1887-04-07,1.202208839304687
1887-04-09,1.2037954205330186
1887-04-11,1.1979856049811408
1887-04-12,1.1997039588944227
1887-04-13,1.1940261709144953
1887-04-14,1.1957451906832917
1887-04-15,1.1919162311934741
1887-04-16,1.1973344470375484
1887-04-18,1.1970725424286404
1887-04-19,1.1950936508643932
1887-04-20,1.2005071925312718
1887-04-21,1.1948350907970113
1887-04-22,1.1965520949769048
1887-04-23,1.196421228238188
1887-04-25,1.1980064858314743
1887-04-26,1.188644245666227
1887-04-27,1.1922095108928794
1887-04-28,1.1902323229577492
1887-04-29,1.1974897963127502
1887-04-30,1.1973576459319408
1887-05-02,1.1915576454950465
1887-05-03,1.1914261497636478
1887-05-04,1.1931402512196672
1887-05-05,1.1966987053262794
1887-05-06,1.1947224147903985
1887-05-07,1.18905755004745
1887-05-09,1.1887951103865413
1887-05-10,1.1923532836536035
1887-05-11,1.1977532359706309
1887-05-12,1.2049918456620659
1887-05-13,1.2048588673838652
1887-05-14,1.202884863066469
1887-05-16,1.206301672148327
1887-05-17,1.2061685493226995
1887-05-18,1.215235031818423
1887-05-19,1.2095864112323946
1887-05-20,1.2094529259155606
1887-05-21,1.2111581506562152
1887-05-23,1.201699919666732
1887-05-24,1.2015673046728577
1887-05-25,1.2032738379434673
1887-05-26,1.2049796680256644
1887-05-27,1.199332377356308
1887-05-28,1.201038863736891
1887-05-31,1.2043152218738038
1887-06-01,1.1987919200974122
1887-06-02,1.1895171845926682
1887-06-03,1.193046846831199
1887-06-04,1.1947452722870129
1887-06-06,1.1944833448440308
1887-06-07,1.1925241190001483
1887-06-08,1.1869081941176234
1887-06-09,1.1867780894687279
1887-06-10,1.1884769379179505
1887-06-11,1.1846898091922768
1887-06-13,1.177114677467083
1887-06-14,1.1696667986130562
1887-06-15,1.1732001495349693
1887-06-16,1.1785613922336258
1887-06-17,1.1747745982107
1887-06-18,1.176475057406815
1887-06-20,1.1762171353955992
1887-06-21,1.1760882026624833
1887-06-22,1.168646818553732
1887-06-23,1.1557144113789362
1887-06-24,1.1446003003394207
1887-06-25,1.1444748333311556
1887-06-27,1.1277288269101187
1887-06-28,1.1367820261481885
1887-06-29,1.1586596489154528
1887-06-30,1.1475604363005631
1887-07-01,1.1467039169555078
1887-07-05,1.1370895754292951
1887-07-06,1.131487862739474
1887-07-07,1.1331973908828306
1887-07-08,1.1239397941368954
1887-07-09,1.1274802509839903
1887-07-11,1.1272436345806327
1887-07-12,1.125297388556798
1887-07-13,1.108726405349646
1887-07-14,1.1177646867127955
1887-07-15,1.1194764674672635
1887-07-16,1.124844636977012
1887-07-18,1.1264359386252702
1887-07-19,1.1171844756376286
1887-07-20,1.1225516079403013
1887-07-21,1.127914629460894
1887-07-22,1.1259705145883734
1887-07-23,1.1240264666738442
1887-07-25,1.1183124677635154
1887-07-26,1.1108885428143946
1887-07-27,1.0998052514169938
1887-07-28,1.1070083294592337
1887-07-29,1.0886112979114717
1887-07-30,1.0720152897584814
1887-08-01,1.079847760188643
1887-08-02,1.065152980000361
1887-08-03,1.0833064927142566
1887-08-04,1.0923103529521483
1887-08-05,1.103124494783174
1887-08-06,1.0993777801783706
1887-08-08,1.0900643291143237
1887-08-09,1.0917757359842548
1887-08-10,1.0916668276156327
1887-08-11,1.0897384853983005
1887-08-12,1.0950885815707225
1887-08-13,1.102252993829711
1887-08-15,1.1020330868077637
1887-08-16,1.101923155233269
1887-08-17,1.0999968777755396
1887-08-18,1.0944376235033666
1887-08-19,1.0925111177552023
1887-08-20,1.0887671637340561
1887-08-22,1.0812780329614542
1887-08-23,1.0829891441665571
1887-08-24,1.0701519488423334
1887-08-25,1.0627624999480707
1887-08-26,1.0626564857491037
1887-08-27,1.0680155726235538
1887-08-29,1.0696229772913393
1887-08-30,1.049498759879581
1887-08-31,1.071279391817526
1887-09-01,1.0833374618378506
1887-09-02,1.0886710271467126
1887-09-03,1.1066782386636573
1887-09-06,1.1027465065149717
1887-09-07,1.089986930048624
1887-09-08,1.0862631550762103
1887-09-09,1.0952118107881514
1887-09-10,1.0878729939593235
1887-09-12,1.082236301890721
1887-09-13,1.085754013414045
1887-09-14,1.0729833945393925
1887-09-15,1.067445747509079
1887-09-16,1.0673440038445425
1887-09-17,1.0672422698777104
