,0,1,2,3
1970-08-25,33.10437375693841,37.309081634273355,41.76930343277813,51.32138545728207
1970-08-26,33.13391482591293,37.35608268791213,41.83726997445116,51.44260739286399
1970-08-27,33.0723852607982,37.249018557886124,41.67514683120704,51.139446776109594
1970-08-28,33.05645131237915,37.219165246242774,41.62842422047641,51.049418907282444
1970-08-29,33.0632346773197,37.227689964638905,41.63895107953272,51.06476170523897
1970-08-30,33.070019434243896,37.23621663554588,41.64948060058653,51.080109114441896
1970-08-31,33.07680558343739,37.24461773812106,41.65972751389594,51.09476140875501
1970-09-01,33.1290637665631,37.329693377005626,41.78423075348764,51.31943768288863
1970-09-02,33.11308304029712,37.299420338712885,41.736615524839145,51.22723089117171
1970-09-03,33.119868954301,37.3076262111874,41.74642648815978,51.240816633501204
1970-09-04,33.149421179220866,37.35442671351784,41.81391445005345,51.360768933257845
1970-09-05,33.156205458021105,37.362757262379425,41.82400706885632,51.375051448454336
1970-09-06,33.16299112527511,37.37108966906753,41.8341021237132,51.389337935363955
1970-09-07,33.16977818126705,37.37942393399646,41.84419961521209,51.40362839509117
1970-09-08,33.1082626134627,37.27230113119377,41.681966359722935,51.100368028679256
1970-09-09,33.02432835895672,37.127501608962596,41.46377485207061,50.6949273427397
1970-09-10,33.07644533069272,37.21227243857833,41.5876823881578,50.91791028807826
1970-09-11,33.12866786433201,37.29721499297631,41.71188210106128,51.14164689615642
1970-09-12,33.13547512485208,37.30551745521789,41.72188152485263,51.155658306264954
1970-09-13,33.14228378412431,37.313821765610314,41.731883345766114,51.169673555115985
1970-09-14,33.19463368521225,37.39922479607113,41.856995720503036,51.39566231166445
1970-09-15,33.24708978994196,37.48492963559016,41.98269156355658,51.62312446699354
1970-09-16,33.391438796743856,37.726356478080895,42.34120575679561,52.28067088291351
1970-09-17,33.58308640787235,38.04817619132422,42.82056379611824,53.164381636111756
1970-09-18,33.61307445677551,38.09640258248475,42.890878000148795,53.29150732812449
1970-09-19,33.61980628072836,38.10510734954059,42.90188861732309,53.30819560014533
1970-09-20,33.62653945289034,38.113814105576076,42.91290206105856,53.324889098109985
1970-09-21,33.6798829613824,38.20176589809287,43.04287954327619,53.56332510158169
1970-09-22,33.70996189041328,38.25012649861244,43.11341686392422,53.69104440306616
1970-09-23,33.81034947653828,38.41823779038832,43.36399738951599,54.155271573807404
1970-09-24,33.770127609834994,38.346787929906384,43.254288708521145,53.94567630840226
1970-09-25,33.730015123887924,38.2755074681833,43.14486115317567,53.7368028401327
1970-09-26,33.736742644712635,38.28400672812932,43.15541686852081,53.75237915175047
1970-09-27,33.743471507355196,38.292507875376764,43.165975166401246,53.76795997836487
1970-09-28,33.680109468917784,38.181504511262325,42.996768969156335,53.44739335780624
1970-09-29,33.71018562897361,38.22951012853027,43.066492782801674,53.57300633286757
1970-09-30,33.74029013006384,38.27836416419019,43.13810330654412,53.70332485780099
1970-10-01,33.747028944174744,38.28668577568724,43.148243715485755,53.71784682537211
1970-10-02,33.824029808910446,38.414577478631095,43.33805423622456,54.067891480288196
1970-10-03,33.8307575474423,38.42288134209154,43.34817040669286,54.082378712580734
1970-10-04,33.837486624149,38.43118700055152,43.35828893852479,54.09686982665771
1970-10-05,33.84421703929671,38.43955762895301,43.36855238007079,54.111720529004664
1970-10-06,33.89796734146026,38.52803411406126,43.49931897787339,54.35210168476063
1970-10-07,33.928248647309196,38.57688933059125,43.57077875558571,54.48212555632282
1970-10-08,33.88785559131538,38.50495954255796,43.46016905064913,54.27036993329479
1970-10-09,33.894586740713656,38.513398985745376,43.47058758432565,54.28561024265961
1970-10-10,33.90131922712106,38.521840278673764,43.48100861559586,54.300854831837334
1970-10-11,33.908053050803154,38.53028342174854,43.4914321450585,54.31610370202983
1970-10-12,33.91478821202558,38.53886036840065,43.50215605983399,54.3321009106544
1970-10-13,33.92152471105399,38.54737059345734,43.51272767967647,54.34771580760105
1970-10-14,33.81077182774068,38.35548145983242,43.22158214209728,53.79787384509289
1970-10-15,33.81753398210623,38.36389864905141,43.23190795569396,53.81281933662136
1970-10-16,33.800882126767455,38.33254108667599,43.182522406907765,53.716371830949136
1970-10-17,33.80765156370846,38.34103725811137,43.19301635139405,53.73172146816001
1970-10-18,33.814422356391496,38.34953531267078,43.2035128460526,53.74707549158229
1970-10-19,33.72771328300963,38.1990702265672,42.97527850999341,53.31702996975839
1970-10-20,33.68792697402703,38.12853288781077,42.86725964428828,53.11189851649188
1970-10-21,33.57868731018508,37.94026407719852,42.58293025231248,52.5795643968373
1970-10-22,33.49315008777604,37.792303996459474,42.35927332440985,52.16117997348995
1970-10-23,33.546101710574675,37.8790120057365,42.48667692426537,52.39248418936604
1970-10-24,33.552939600895954,37.88767228944028,42.49744409581467,52.40835982978069
1970-10-25,33.55977888502282,37.89633455314591,42.50821399603074,52.424240280731865
1970-10-26,33.56661956323939,37.90506628392926,42.519138024723425,52.44049897662168
1970-10-27,33.619711235505704,37.99207348476707,42.64708298806364,52.673153807597906
1970-10-28,33.719360993909206,38.15812541070091,42.89347099358729,53.125653781513925
1970-10-29,33.88961047959917,38.444241779597434,43.32014696309309,53.91433963036855
1970-10-30,33.84951017806496,38.37304239509318,43.21094677741205,53.70632299456976
1970-10-31,33.856307901615786,38.3816421618546,43.22163704725862,53.72211118212406
1970-11-01,33.8631069902985,38.39024385590622,43.23232996184866,53.73790401097295
1970-11-02,34.081609005845884,38.75885318705278,43.7835755523485,54.761559224999594
1970-11-03,34.0883693030843,38.76746508566502,43.79434751148438,54.77764261992813
1970-11-04,34.1188206964189,38.81649114574925,43.865991994659474,54.90793411356729
1970-11-05,34.19680997060801,38.94658840215118,44.059764803042434,55.267523347044964
1970-11-06,34.32281939931458,39.158921401758,44.37783114003767,55.861821652772846
1970-11-07,34.32954291051198,39.1674773578725,44.388530452750885,55.87781496883508
1970-11-08,34.336267738780755,39.17603518340481,44.39923234502442,55.893812863805614
1970-11-09,34.55944039950101,39.555161687094284,44.97000234889989,56.96759929835048
1970-11-10,34.566125047424855,39.56406430773153,44.98154670292753,56.98582893012593
1970-11-11,34.572810988324434,39.57283343869726,44.99278592774754,57.00328376759
1970-11-12,34.65224479559903,39.70637008731525,45.193063434185454,57.379794417406984
1970-11-13,34.731933772953795,39.84048224330254,45.39442197738447,57.759152916437195
1970-11-14,34.738594691759566,39.84907796378654,45.40530420183111,57.77576856316659
1970-11-15,34.74525688800182,39.857675538826676,45.416189035030186,57.79238898973956
1970-11-16,34.84971556477236,40.034552158867456,45.68273643335453,58.297007573646184
1970-11-17,34.93003002011663,40.17006806181911,45.886725975465964,58.68329005316441
1970-11-18,35.10951258589117,40.476994258503225,46.35215469533589,59.57220337644744
1970-11-19,35.46585658406984,41.09038165948308,47.28654238389509,61.369342110361195
1970-11-20,36.08485855220525,42.1636027920944,48.93134024528323,64.56753232271387
1970-11-21,36.09126485038109,42.17223189107678,48.942681591542815,64.58600040593164
1970-11-22,36.09767228589425,42.180862756069274,48.95402556650896,64.60447377152718
1970-11-23,36.522800951595755,42.92341977823715,50.10107055923055,66.87111881486487
1970-11-24,36.187001744594674,42.32880181509831,49.1736117033852,65.01014374542929
1970-11-25,36.11528067475328,42.20006180481859,48.97195565579016,64.60579088112644
1970-11-26,36.12169237389773,42.208409323893406,48.98263556721537,64.62249988567213
1970-11-27,36.12810521133836,42.21682787786266,48.993478846540924,64.63963812673768
1970-11-28,36.13451918727725,42.22524811092981,49.00432452624174,64.65678091295868
1970-11-29,36.14093430191652,42.233670023429745,49.015172606849184,64.67392824554051
1970-11-30,36.12135728862643,42.1964612681901,48.95535660146468,64.55111060999968
1970-12-01,36.1537713143529,42.25029436828984,49.036337630317156,64.70674319411968
1970-12-02,36.342890894866606,42.578771356982664,49.54230046014085,65.70356756590363
1970-12-03,36.61287503433038,43.0503188935653,50.27159372212134,67.14986296493473
1970-12-04,36.88601758493492,43.529340034512956,51.015297825260305,68.63569885810618
1970-12-05,36.892293260803484,43.537688127122316,51.026185747727666,68.65331848819662
1970-12-06,36.898570004396625,43.54603782073574,51.037075993946154,68.67094264146333
1970-12-07,36.743966081904944,43.26966855040129,50.60309605864176,67.79082239367025
1970-12-08,36.696925672221965,43.18420547974608,50.46798418645981,67.51560235772988
1970-12-09,36.57035231757646,42.958711529756634,50.11500107329752,66.80403899336883
1970-12-10,36.57670453767765,42.96740331289766,50.12657557902486,66.82329319858009
1970-12-11,36.66264714839166,43.116263083955396,50.35612063661331,67.27829052072715
1970-12-12,36.66898526629595,43.12485680488514,50.3674887032995,67.29703628003115
1970-12-13,36.67532447991322,43.133452238672966,50.37885933636568,67.31578726246863
1970-12-14,36.814984492959155,43.377024554949415,50.75598961304361,68.06728434702934
1970-12-15,36.74111535906143,43.24349976036972,50.5453533167518,67.63890549271692
1970-12-16,36.747446910174,43.251787110529285,50.55601630909534,67.65578742227963
1970-12-17,36.72711341124011,43.21307395460758,50.49348868656084,67.52587026261608
1970-12-18,36.65361113576813,43.08083410212779,50.285503235672614,67.10472481399222
1970-12-19,36.65996777572674,43.08953288972594,50.297089566692115,67.1240105280552
1970-12-20,36.66632551808346,43.098233433764214,50.30867856732925,67.14330178477955
1970-12-21,36.35563734308454,42.54786515488532,49.45007114641321,65.42039270266025
1970-12-22,36.17928478600103,42.2358036791597,48.964572174094506,64.45314148180908
1970-12-23,36.05612906183949,42.017686212396605,48.625516118068084,63.77992867594034
1970-12-24,36.16615431844361,42.20727760197784,48.91594960755505,64.34720166494392
1970-12-25,36.17262459207921,42.21585782115063,48.92708636210953,64.36498969959595
1970-12-26,36.17909602327335,42.224439784576184,48.938225652182645,64.38278265154304
1970-12-27,36.18556861223313,42.2330234926091,48.94936747835167,64.40058052214451
1970-12-28,36.16607779246599,42.196153165960745,48.89026565380262,64.27975347501582
1970-12-29,36.12070529244785,42.11443466454672,48.76223631241691,64.02373641687949
1970-12-30,36.25696919592285,42.35130489797053,49.12680357170231,64.739546930074
1970-12-31,36.289500369474936,42.406853386357426,49.21159570870232,64.90493907428443
1971-01-01,36.29596288323936,42.41672895495424,49.22575246911166,64.93072322816323
1971-01-02,36.3024265478624,42.426606823341,49.239913302013726,64.95651762506208
1971-01-03,36.30889136354901,42.43648699205327,49.25407820858005,64.9823222690501
1971-01-04,36.41996043086212,42.62830049955449,49.54866798256752,65.56086256995536
1971-01-05,36.40018777747815,42.590665945453914,49.488079851184494,65.43612032575044
1971-01-06,36.406640084736246,42.600094235339924,49.50121791950664,65.45926499187115
1971-01-07,36.46556046363746,42.701175748736084,49.65601832418588,65.76273489183585
1971-01-08,36.498292613774105,42.75632998598509,49.73972085866994,65.92541062159133
1971-01-09,36.50473231252569,42.76530295825064,49.751821919525426,65.9458565297622
1971-01-10,36.511173147487135,42.7742778136112,49.76392592441983,65.9663087789654
1971-01-11,36.64952965686126,43.01513948402375,50.13578970908172,66.70220815127742
1971-01-12,36.76207648438747,43.21107221479877,50.43856218199348,67.30300848761993
1971-01-13,36.928607922677664,43.503062281719636,50.89173328177986,68.20751060463101
1971-01-14,37.123262766084956,43.84486334427892,51.423184087798944,69.27253221673396
1971-01-15,37.129588976890574,43.853968661104936,51.43577924576455,69.2946614694914
1971-01-16,37.13591626575184,43.863075868843325,51.448377488681174,69.3167977914841
1971-01-17,37.14224463285247,43.872184967886774,51.46097881730442,69.33894118497035
1971-01-18,37.31135995190334,44.16979054707184,51.9248355710979,70.27323723814118
1971-01-19,37.29041522865471,44.13040210635,51.86137555071444,70.14091600622302
1971-01-20,37.35122298304183,44.23577497728231,52.02447278753537,70.46770845755157
1971-01-21,37.52176031397999,44.536228306694646,52.49365039886576,71.41698091099514
1971-01-22,37.610634818375296,44.6921740764806,52.73693143153045,71.9097836151165
1971-01-23,37.6168792141835,44.70100843363024,52.7490248045738,71.9308246148154
1971-01-24,37.623124646732485,44.709844537078155,52.76112095080982,71.95187177116847
1971-01-25,37.65699658513583,44.76799941719581,52.850874972538726,72.13189413656882
1971-01-26,37.6079899790514,44.6785353590187,52.70842116675785,71.83691877602061
