,0.5,1.0,1.5,2.0,3.0,3.6
1990-07-23,197.77332624051806,153.93571917903336,146.45867062697585,126.40534045055594,70.30040188659301,40.996765329068865
1990-07-24,197.28812325123468,153.146585640789,145.31737839827852,125.0832929719405,69.19027379799753,40.218210025350515
1990-07-25,197.7579866266956,153.8413153351871,146.29071141019332,126.19147977010398,70.1023960960637,40.85272238827006
1990-07-26,197.80279371024088,153.8770992466171,146.32662277387098,126.22408211679526,70.12231285900931,40.864960296943835
1990-07-27,198.59699442262956,155.07899870810618,148.02595575038492,128.16992699071162,71.73658595588483,41.992172518427715
1990-07-28,198.64169234890852,155.1147730963013,148.06194836291326,128.20268933095335,71.7567115076708,42.004581493024524
1990-07-29,198.68640033528237,155.1505557371087,148.09794972707,128.2354600457878,71.77684270563897,42.01699413455832
1990-07-30,199.5979270487284,156.54001150590014,150.07211721695523,130.5058384300866,73.67562682169056,43.34908123946998
1990-07-31,199.42545974730282,156.23496274223575,149.61792884563,129.97021119389922,73.21443330234194,43.021660825105364
1990-08-01,200.2351046265917,157.4690124972829,151.3750895679939,131.99644157688024,74.9189561867505,44.22179350756062
1990-08-02,198.9781952400845,155.45719157632507,148.4584030787694,128.59622581027142,72.01630890125318,42.16396839751587
1990-08-03,198.807791046167,155.15672506099625,148.01268053013425,128.0725965558087,71.56901700001765,41.84797319029878
1990-08-04,198.85261811795635,155.19255988818156,148.04869019049335,128.10533401679135,71.58907593272752,41.86032120868946
1990-08-05,198.89745529732926,155.2284029917393,148.08470861155885,128.13807984600714,71.60914048743416,41.87267287059132
1990-08-06,196.00636405984898,150.68153834545487,141.56299004281357,120.60490995238536,65.28694894378508,37.43474288471792
1990-08-07,195.33258927096318,149.61236578775726,140.04164215398407,118.86843989917587,63.87019397262512,36.45837412076458
1990-08-08,195.48041873093558,149.8052511997126,140.29770958049386,119.14989467891186,64.09031195560007,36.60761512983668
1990-08-09,196.66432947174496,151.5865725950549,142.78550529351898,121.95868774543119,66.34989950148189,38.154869714141626
1990-08-10,196.50142657483627,151.3020131800677,142.36868077023786,121.47557720566003,65.94879309929867,37.87650115689709
1990-08-11,196.5464603949266,151.3379940423801,142.40474100184665,121.50822584709532,65.96855966906595,37.888557299100945
1990-08-12,196.5915045357815,151.37398346123732,142.4408103670675,121.54088326341204,65.98833216338868,37.90061727879138
1990-08-13,196.3261229782677,150.93116812214973,141.80070265012526,120.80405449722419,65.3812736918777,37.48061269996057
1990-08-14,196.89128594929204,151.7664779136373,142.9630296859007,122.11591843924201,66.43943672031851,38.20696948547513
1990-08-15,197.14589101434868,152.1245558778171,143.453754002849,122.66613016268258,66.88138529728734,38.51031950613923
1990-08-16,195.95043581265153,150.24447090935504,140.77876524192558,119.60742082617682,64.37255575875659,36.77514238194088
1990-08-17,195.58608601929652,149.65198890403315,139.93118431464237,118.63885609751485,63.583845392170716,36.23289570796121
