Date,SPXL,TQQQ,TECL,TPOR,DRN,UTSL,FAS,DPST,CURE,WEBL,LABU,SOXL,NAIL,YINN,HIBL,XLE,KWEB
2018-10-26,39.696705,12.411825,11.749042,25.141554,16.801239000000002,24.997156,52.050865,84.234978,50.011284,22.893658111963198,51.506721,5.84909,26.477498999999998,339.225128,27.655728585120503,54.141438,36.661246999999996
2018-10-29,39.021392999999996,11.748199000000001,11.165874,25.587944,17.335307999999998,25.685488,52.592757999999996,89.350449,50.375965,21.382282764159445,46.914658,5.676768,24.728233,320.433075,26.548379426237606,53.13158000000001,35.521755
2018-10-30,40.832015999999996,12.202259,11.518533,26.655748,17.878126,26.00248,54.624855000000004,91.983994,51.933277000000004,22.742484529728912,47.590546,6.383156,28.216824,333.413177,28.84486300103298,54.361332,35.853729
2018-10-31,42.094559000000004,13.025556,12.344028999999999,26.645917999999998,17.168955,25.186449,56.65696,94.465958,52.268398,24.95849021582721,49.021843,6.6127020000000005,28.147251,344.649597,30.392567957886897,54.695240000000005,37.432877000000005
2018-11-01,43.445187,13.594379,12.802092,28.228937,17.396591,24.467326999999997,57.692368,97.592079,54.249534999999995,26.17282178408496,57.540028,7.522983,30.860598,388.045654,33.01898838540394,55.159451000000004,40.348907000000004
2018-11-02,42.554558,12.985639,12.049489999999999,27.914301000000002,16.871279,24.372229,57.121444999999994,98.008888,53.145610999999995,25.862283064109626,57.79845400000001,7.185573,29.902479,392.50152599999996,32.62058655847701,55.021,39.954121
2018-11-05,43.298382000000004,12.858403,12.017968,28.306618,17.597967,25.349472,59.192257,99.221458,54.515652,25.0780760816234,56.834324,7.000755000000001,31.248222,393.663849,32.898412992034054,55.941277,39.658035
2018-11-06,44.120506,13.130339999999999,12.217939,28.907377,17.869370999999997,26.044138,60.082508,101.191872,55.373158,25.383997311897225,56.27770600000001,7.254633,31.019621,394.632507,33.53089546357348,56.201878,39.873371
2018-11-07,46.870693,14.337842000000002,13.266065,30.886647999999997,18.517256,26.814888,62.830692000000006,102.082336,60.271778000000005,27.734134630730633,60.492073,7.51509,31.251202000000003,417.49292,35.6364209289543,57.12215,40.788551
2018-11-08,46.645592,14.093348,13.221735,30.473688,18.526011999999998,26.539553,63.31451800000001,103.863274,60.399914,27.227095131201278,58.225861,7.4164330000000005,28.654141999999997,390.370453,34.98473050461124,55.884274,38.653126
2018-11-09,45.343899,13.377328,12.582417999999999,29.350821000000003,18.648588,26.953457,61.775925,102.32674399999999,59.729679000000004,25.431389575095686,51.148899,7.0027289999999995,27.978286999999998,359.760712,33.115696847212924,55.786530000000006,36.993225
2018-11-12,42.711151,12.202259,11.239756,27.973297,18.639835,26.808546000000003,58.62133000000001,98.236244,57.305007999999994,22.988427931929284,45.185169,6.085211,26.656399,347.943054,29.87748647360077,54.630081000000004,35.988316
2018-11-13,42.476261,12.197269,11.275217999999999,28.627153000000003,18.692362,27.177159999999997,59.211601,99.998253,56.092678,23.091411762793605,44.479465000000005,6.310151,27.849080999999998,369.447266,30.19408425966371,53.375904000000006,37.047062
2018-11-14,41.614983,11.88791,10.85262,28.681232,18.490993,26.455323999999997,57.39239499999999,94.16280400000001,54.643784,22.604391251840887,40.334679,6.383815,27.580728999999998,374.871796,29.634988628847676,53.286319999999996,38.025055
2018-11-15,42.936253,12.524092999999999,11.661369,29.988946999999996,18.070744,25.585860999999998,59.211601,99.73299399999999,56.250374,23.89766089115549,44.638496,7.029694,25.831463,397.344788,31.044888115524333,54.06815,39.326054
2018-11-16,43.180939,12.386878,11.618025999999999,29.896524,18.639835,26.717978999999996,59.482555000000005,99.373024,57.807686,23.376610549364916,47.958304999999996,6.778446000000001,27.411768,401.219452,30.87544940076573,54.711525,38.967155
2018-11-19,41.184360999999996,11.199333,10.2862,29.364588,18.631075,27.089312,58.379420999999994,98.482559,55.550575,19.842667628661317,43.127686,5.989841,27.372010999999997,381.07122799999996,27.86121699468246,54.695240000000005,37.773823
2018-11-20,38.786499,10.578118,9.633092,26.901559999999996,18.280865,26.754208000000002,55.128048,92.874466,53.91441700000001,19.22704854864919,42.253009999999996,6.018123999999999,27.451519,363.054169,26.676583996611715,52.903549,36.867615
2018-11-21,39.158417,10.815127,9.809421,27.933968,18.315886,25.522463000000002,55.53447,93.897583,53.155476,20.09635690994282,44.757774,6.089815,29.101395,382.233612,27.58523785359993,53.734244999999994,38.410866
2018-11-23,38.365662,10.575624000000001,9.538524,28.310546999999996,18.167051,25.576805,54.29585600000001,93.404961,53.254036,19.732873978270764,45.284569,6.087185,29.318065999999998,366.73510699999997,27.034057497584246,52.048424,37.226513
2018-11-26,40.127342,11.301622,10.18572,28.681232,18.280865,25.957193,57.22789,98.65306899999999,54.880341,21.51817578332347,48.395649,6.431171,29.628159999999998,387.851929,29.033983107306952,52.830256999999996,38.132721000000004
2018-11-27,40.518822,11.41888,10.254677000000001,28.167982000000002,18.455970999999998,26.636467,57.469799,96.682663,56.546062,21.210717929240648,44.608684999999994,6.472606,29.667919,389.014282,28.849970965291657,52.68366999999999,38.204502000000005
2018-11-28,43.327746999999995,12.50164,11.310683000000001,31.110828,18.955019,26.600240999999997,60.750191,99.903511,60.715317000000006,23.886288067051403,49.836876000000004,6.917224000000001,32.10297,416.524231,31.280695245180194,53.587646,39.09277
2018-11-29,43.034134,12.386878,10.999395,30.637888,18.955019,26.405514,59.424496,98.89936800000001,61.237701,23.791256578829174,48.723652,6.752795,31.04944,395.79492200000004,30.75756055904213,53.93784300000001,38.016079
2018-11-30,43.905182,12.646339999999999,11.320533,31.709625,19.497843,27.687069,60.808262,102.669678,62.992142,24.32287902891075,50.721497,7.030352000000001,30.890417,411.87469500000003,31.498273249947523,53.840115000000004,39.047909000000004
2018-12-03,45.510273,13.294998999999999,12.059341,32.053757,19.786766,28.013121,62.26944,102.423378,64.036911,25.652326329771544,56.615646,7.5986199999999995,32.083096000000005,432.21655300000003,33.448061023354065,55.037289,40.295071
2018-12-04,41.203934000000004,11.833022999999999,10.658559,27.678324,18.981282999999998,28.583709999999996,55.321583,85.67489599999999,59.660686,22.422811456506842,48.027885,6.490366000000001,27.451519,411.680939,28.8884477740558,53.45734,38.967155
2018-12-06,40.969044,12.005166000000001,10.72456,27.501337,20.373362,28.583709999999996,54.81839,83.609749,58.941166,23.38763149678625,48.52486,6.383815,29.021884999999997,393.470123,28.456247420911463,52.47192,38.581340999999995
2018-12-07,38.062256,10.830098,9.583836999999999,24.403137,19.637926,28.982214000000003,51.741215000000004,81.108856,54.564933999999994,21.18351508195653,43.922855,5.668875,27.968349,369.253662,25.62970794082331,52.178738,37.728962
2018-12-10,38.248207,11.169395,10.003480999999999,23.869232,19.217676,29.163353000000004,50.328407,75.993385,55.107032999999994,21.871805767103595,45.602634,5.908942,26.109756,363.44162,25.65888213706808,51.364342,37.531574
2018-12-11,38.257996,11.289147,10.032048,23.433654999999998,19.278963,29.432346000000003,49.370422,73.712227,55.59985,22.114965541659636,45.125541999999996,6.0135190000000005,25.602869000000002,370.997162,25.53155753210424,51.380619,38.025055
