,QQQ,QLD,TQQQ
1991-08-15,6.094602174401922,0.5385238325040396,1.1941392875611554
1991-08-16,6.044860912554846,0.5296369869473058,1.1645057482903898
1991-08-19,5.881579813882923,0.5007400860479913,1.0689851583022258
1991-08-20,5.930023477594857,0.5088987868354184,1.0950440097678993
1991-08-21,6.186515375641084,0.5528208832078321,1.2367320374635467
1991-08-22,6.154075422262556,0.5469221052406829,1.2168579148402938
1991-08-23,6.20187028690692,0.5553193143854497,1.2448065803912303
1991-08-26,6.200356422415922,0.554746055089449,1.242641683133
1991-08-27,6.201870286906921,0.5549169398073801,1.2431375571974912
1991-08-28,6.269129123578401,0.5668540354569197,1.2831730445544793
1991-08-29,6.241230763672866,0.5617082655647287,1.2656214224521496
1991-08-30,6.215495067325901,0.556975984519471,1.249549316057532
1991-09-03,6.149101296077848,0.5446611040025225,1.2077768341793411
1991-09-04,6.094602174401922,0.5349041391555429,1.1752422370449775
1991-09-05,6.071461674325239,0.5307445990784024,1.1614584537190775
1991-09-06,6.054592898568404,0.5277005808186227,1.1513941243117642
1991-09-09,6.084437655676649,0.532617551984146,1.167269031663178
1991-09-10,5.977169543171652,0.5137424071831546,1.1051471151128538
1991-09-11,6.047888641536842,0.5258076426785027,1.144010240891753
1991-09-12,6.1754857914923855,0.5479004874195759,1.2160408614020828
1991-09-13,6.04464464619899,0.5245889829142875,1.1383606210113426
1991-09-16,6.024531875104302,0.5208155635943386,1.125864320366729
1991-09-17,6.014151090023173,0.5189265689634835,1.1196678132849982
1991-09-18,6.0779496650009435,0.5298449202617269,1.1549368702211684
1991-09-19,6.1313674548975845,0.5390659822596434,1.185017182158624
1991-09-20,6.198842557924923,0.5508387093217654,1.223767791375299
1991-09-23,6.1607796792941185,0.5437883755779129,1.2000550249398836
1991-09-24,6.214413735546618,0.5531625117985691,1.2310146998459526
1991-09-25,6.249881417907141,0.5593810399682754,1.2516998664513006
1991-09-26,6.226740917830459,0.5551408371411605,1.2373921052452386
1991-09-27,6.183920179370802,0.547410775535975,1.2114749556477467
1991-09-30,6.218522796307898,0.5532404348826538,1.230597870566885
1991-10-01,6.2364729038440165,0.5563374977053462,1.24085693558888
1991-10-02,6.164888740055399,0.5434715214187715,1.1977409018037224
1991-10-03,6.064324884581963,0.5256468178539002,1.1387446837399444
1991-10-04,6.066487548140532,0.525933162998367,1.139610128531354
